transaction_id,city,transaction_date,card_type,exp_type,gender,amount,year,month,month_name,day,day_name
43,Bengaluru,2014-11-10,Platinum,Bills,F,804938,2014,11,November,10,Monday
44,Delhi,2015-01-30,Silver,Bills,F,888341,2015,1,January,30,Friday
45,Bengaluru,2014-04-19,Platinum,Bills,F,262414,2014,4,April,19,Saturday
46,Bengaluru,2014-09-08,Gold,Bills,F,249353,2014,9,September,8,Monday
47,Ahmedabad,2013-12-10,Gold,Bills,F,892016,2013,12,December,10,Tuesday
48,Ahmedabad,2013-11-04,Platinum,Bills,F,313626,2013,11,November,4,Monday
49,Greater Mumbai,2014-06-01,Gold,Bills,F,314366,2014,6,June,1,Sunday
50,Greater Mumbai,2014-04-27,Signature,Bills,F,551340,2014,4,April,27,Sunday
51,Delhi,2013-10-04,Signature,Bills,F,735037,2013,10,October,4,Friday
52,Greater Mumbai,2014-12-31,Platinum,Bills,F,574023,2014,12,December,31,Wednesday
53,Ahmedabad,2013-12-21,Signature,Bills,F,402300,2013,12,December,21,Saturday
54,Delhi,2013-12-07,Signature,Bills,F,733125,2013,12,December,7,Saturday
55,Greater Mumbai,2014-02-07,Signature,Bills,F,545977,2014,2,February,7,Friday
56,Bengaluru,2015-05-13,Silver,Bills,F,371572,2015,5,May,13,Wednesday
57,Ahmedabad,2015-01-28,Signature,Bills,F,326283,2015,1,January,28,Wednesday
58,Delhi,2014-12-09,Platinum,Bills,F,279051,2014,12,December,9,Tuesday
59,Delhi,2013-10-08,Platinum,Bills,F,900101,2013,10,October,8,Tuesday
60,Ahmedabad,2014-04-24,Silver,Bills,F,545286,2014,4,April,24,Thursday
61,Delhi,2015-01-13,Platinum,Bills,F,722587,2015,1,January,13,Tuesday
62,Bengaluru,2014-03-14,Platinum,Bills,F,411062,2014,3,March,14,Friday
63,Delhi,2014-02-27,Platinum,Bills,F,660910,2014,2,February,27,Thursday
64,Greater Mumbai,2013-10-29,Signature,Bills,F,557370,2013,10,October,29,Tuesday
65,Greater Mumbai,2014-06-22,Platinum,Bills,F,549794,2014,6,June,22,Sunday
66,Delhi,2014-01-23,Platinum,Bills,F,340133,2014,1,January,23,Thursday
67,Bengaluru,2013-11-10,Gold,Bills,F,265417,2013,11,November,10,Sunday
68,Greater Mumbai,2013-12-13,Platinum,Bills,F,358185,2013,12,December,13,Friday
69,Greater Mumbai,2014-03-22,Gold,Bills,F,991685,2014,3,March,22,Saturday
70,Greater Mumbai,2015-01-13,Gold,Bills,F,533762,2015,1,January,13,Tuesday
71,Greater Mumbai,2014-05-08,Gold,Bills,F,829742,2014,5,May,8,Thursday
72,Delhi,2014-02-18,Silver,Bills,F,441527,2014,2,February,18,Tuesday
73,Delhi,2013-10-04,Signature,Bills,F,550782,2013,10,October,4,Friday
74,Greater Mumbai,2014-06-14,Platinum,Bills,F,835872,2014,6,June,14,Saturday
75,Ahmedabad,2014-08-24,Silver,Bills,F,540497,2014,8,August,24,Sunday
76,Greater Mumbai,2015-04-02,Platinum,Bills,F,525977,2015,4,April,2,Thursday
77,Greater Mumbai,2014-06-27,Gold,Bills,F,789393,2014,6,June,27,Friday
78,Greater Mumbai,2015-02-06,Platinum,Bills,F,689478,2015,2,February,6,Friday
79,Bengaluru,2014-03-29,Silver,Bills,F,499079,2014,3,March,29,Saturday
80,Ahmedabad,2014-04-22,Platinum,Bills,F,665107,2014,4,April,22,Tuesday
81,Greater Mumbai,2014-10-14,Platinum,Bills,F,998077,2014,10,October,14,Tuesday
82,Ahmedabad,2014-02-02,Silver,Bills,F,934205,2014,2,February,2,Sunday
83,Bengaluru,2015-04-01,Platinum,Bills,F,823426,2015,4,April,1,Wednesday
84,Ahmedabad,2015-01-13,Signature,Bills,F,282910,2015,1,January,13,Tuesday
85,Bengaluru,2014-03-27,Gold,Bills,F,418675,2014,3,March,27,Thursday
86,Ahmedabad,2015-02-17,Silver,Bills,F,804949,2015,2,February,17,Tuesday
87,Bengaluru,2015-02-10,Gold,Bills,F,686601,2015,2,February,10,Tuesday
88,Greater Mumbai,2014-02-26,Silver,Bills,F,561220,2014,2,February,26,Wednesday
89,Greater Mumbai,2015-05-07,Gold,Bills,F,762534,2015,5,May,7,Thursday
90,Bengaluru,2014-01-05,Gold,Bills,F,327947,2014,1,January,5,Sunday
91,Bengaluru,2014-04-07,Gold,Bills,F,492986,2014,4,April,7,Monday
92,Delhi,2015-02-20,Signature,Bills,F,369237,2015,2,February,20,Friday
93,Bengaluru,2015-01-19,Platinum,Bills,F,983839,2015,1,January,19,Monday
94,Ahmedabad,2014-11-14,Gold,Bills,F,776716,2014,11,November,14,Friday
95,Greater Mumbai,2014-07-21,Gold,Bills,F,664632,2014,7,July,21,Monday
96,Bengaluru,2015-02-03,Gold,Bills,F,466727,2015,2,February,3,Tuesday
97,Bengaluru,2013-11-01,Gold,Bills,F,896384,2013,11,November,1,Friday
98,Delhi,2013-12-07,Signature,Bills,F,712001,2013,12,December,7,Saturday
99,Greater Mumbai,2014-08-05,Silver,Bills,F,246865,2014,8,August,5,Tuesday
100,Greater Mumbai,2015-01-08,Signature,Bills,F,858729,2015,1,January,8,Thursday
101,Delhi,2015-04-11,Platinum,Bills,F,581882,2015,4,April,11,Saturday
102,Greater Mumbai,2015-02-15,Signature,Bills,F,646426,2015,2,February,15,Sunday
103,Bengaluru,2015-03-24,Silver,Bills,F,687088,2015,3,March,24,Tuesday
104,Bengaluru,2013-10-13,Signature,Bills,F,973026,2013,10,October,13,Sunday
105,Greater Mumbai,2015-04-24,Silver,Bills,F,944398,2015,4,April,24,Friday
106,Ahmedabad,2014-11-09,Platinum,Bills,F,414422,2014,11,November,9,Sunday
107,Bengaluru,2015-02-04,Signature,Bills,F,408503,2015,2,February,4,Wednesday
108,Bengaluru,2014-03-06,Signature,Bills,F,984466,2014,3,March,6,Thursday
109,Greater Mumbai,2014-03-27,Gold,Bills,F,919997,2014,3,March,27,Thursday
110,Greater Mumbai,2013-11-13,Signature,Bills,F,535101,2013,11,November,13,Wednesday
111,Greater Mumbai,2013-10-22,Signature,Bills,F,978301,2013,10,October,22,Tuesday
112,Greater Mumbai,2014-09-27,Gold,Bills,F,880406,2014,9,September,27,Saturday
113,Ahmedabad,2014-11-14,Silver,Bills,F,447241,2014,11,November,14,Friday
114,Bengaluru,2013-10-21,Platinum,Bills,F,382191,2013,10,October,21,Monday
115,Bengaluru,2015-05-15,Silver,Bills,F,775859,2015,5,May,15,Friday
116,Bengaluru,2014-03-21,Platinum,Bills,F,832637,2014,3,March,21,Friday
117,Bengaluru,2015-04-03,Platinum,Bills,F,458526,2015,4,April,3,Friday
118,Ahmedabad,2015-04-06,Signature,Bills,F,440995,2015,4,April,6,Monday
119,Ahmedabad,2013-11-05,Platinum,Bills,F,490128,2013,11,November,5,Tuesday
120,Delhi,2013-10-07,Platinum,Bills,F,897079,2013,10,October,7,Monday
121,Delhi,2014-10-31,Gold,Bills,F,431948,2014,10,October,31,Friday
122,Bengaluru,2014-04-03,Silver,Bills,F,228072,2014,4,April,3,Thursday
123,Delhi,2013-11-21,Gold,Bills,F,757649,2013,11,November,21,Thursday
124,Delhi,2014-05-11,Signature,Bills,F,919877,2014,5,May,11,Sunday
125,Greater Mumbai,2014-05-23,Gold,Bills,F,605615,2014,5,May,23,Friday
126,Bengaluru,2015-05-22,Platinum,Bills,F,500852,2015,5,May,22,Friday
127,Greater Mumbai,2015-02-15,Signature,Bills,F,488136,2015,2,February,15,Sunday
128,Delhi,2014-06-16,Gold,Bills,F,937828,2014,6,June,16,Monday
129,Delhi,2014-01-27,Gold,Bills,F,315873,2014,1,January,27,Monday
130,Greater Mumbai,2015-05-20,Silver,Bills,F,567623,2015,5,May,20,Wednesday
131,Greater Mumbai,2013-10-29,Platinum,Bills,F,555123,2013,10,October,29,Tuesday
132,Bengaluru,2014-04-20,Gold,Bills,F,498843,2014,4,April,20,Sunday
133,Greater Mumbai,2014-05-23,Silver,Bills,F,752610,2014,5,May,23,Friday
134,Greater Mumbai,2015-03-11,Platinum,Bills,F,494540,2015,3,March,11,Wednesday
135,Delhi,2013-10-27,Gold,Bills,F,996754,2013,10,October,27,Sunday
136,Ahmedabad,2014-07-14,Signature,Bills,F,245572,2014,7,July,14,Monday
137,Delhi,2014-04-18,Gold,Bills,F,974384,2014,4,April,18,Friday
138,Ahmedabad,2014-03-25,Silver,Bills,F,846635,2014,3,March,25,Tuesday
139,Ahmedabad,2014-09-01,Silver,Bills,F,635473,2014,9,September,1,Monday
140,Delhi,2015-03-23,Gold,Bills,F,224510,2015,3,March,23,Monday
141,Delhi,2015-01-24,Silver,Bills,F,478671,2015,1,January,24,Saturday
142,Greater Mumbai,2013-10-04,Gold,Bills,F,990700,2013,10,October,4,Friday
143,Delhi,2014-03-14,Gold,Bills,F,228565,2014,3,March,14,Friday
144,Bengaluru,2014-01-03,Silver,Bills,F,297732,2014,1,January,3,Friday
145,Greater Mumbai,2014-12-03,Signature,Bills,F,559262,2014,12,December,3,Wednesday
146,Bengaluru,2014-07-01,Signature,Bills,F,809907,2014,7,July,1,Tuesday
147,Ahmedabad,2014-08-21,Signature,Bills,F,428316,2014,8,August,21,Thursday
148,Ahmedabad,2014-03-05,Signature,Bills,F,275065,2014,3,March,5,Wednesday
149,Bengaluru,2014-04-20,Silver,Bills,F,845653,2014,4,April,20,Sunday
150,Ahmedabad,2013-11-20,Signature,Bills,F,236296,2013,11,November,20,Wednesday
151,Bengaluru,2014-09-25,Signature,Bills,F,440572,2014,9,September,25,Thursday
152,Ahmedabad,2015-02-06,Gold,Bills,F,478115,2015,2,February,6,Friday
153,Bengaluru,2013-10-26,Gold,Bills,F,897621,2013,10,October,26,Saturday
154,Greater Mumbai,2015-05-06,Signature,Bills,F,554281,2015,5,May,6,Wednesday
155,Delhi,2014-09-30,Silver,Bills,F,245452,2014,9,September,30,Tuesday
156,Delhi,2014-01-17,Platinum,Bills,F,365045,2014,1,January,17,Friday
157,Greater Mumbai,2015-01-11,Gold,Bills,F,496047,2015,1,January,11,Sunday
158,Bengaluru,2015-02-11,Silver,Bills,F,466814,2015,2,February,11,Wednesday
159,Bengaluru,2014-11-10,Gold,Bills,F,835177,2014,11,November,10,Monday
160,Delhi,2015-01-12,Silver,Bills,F,219698,2015,1,January,12,Monday
161,Bengaluru,2014-10-18,Silver,Bills,F,784541,2014,10,October,18,Saturday
162,Delhi,2013-10-25,Signature,Bills,F,576994,2013,10,October,25,Friday
163,Bengaluru,2015-05-15,Gold,Bills,F,464663,2015,5,May,15,Friday
164,Bengaluru,2014-05-03,Platinum,Bills,F,380270,2014,5,May,3,Saturday
165,Ahmedabad,2014-10-02,Silver,Bills,F,772082,2014,10,October,2,Thursday
166,Delhi,2015-04-09,Gold,Bills,F,230853,2015,4,April,9,Thursday
167,Bengaluru,2013-10-06,Signature,Bills,F,677654,2013,10,October,6,Sunday
168,Greater Mumbai,2014-02-05,Signature,Bills,F,929247,2014,2,February,5,Wednesday
169,Ahmedabad,2015-04-09,Platinum,Bills,F,851374,2015,4,April,9,Thursday
170,Ahmedabad,2014-01-19,Platinum,Bills,F,637600,2014,1,January,19,Sunday
171,Greater Mumbai,2013-11-09,Platinum,Bills,F,681749,2013,11,November,9,Saturday
172,Delhi,2014-03-25,Silver,Bills,F,847958,2014,3,March,25,Tuesday
173,Greater Mumbai,2014-02-18,Gold,Bills,F,877569,2014,2,February,18,Tuesday
174,Ahmedabad,2013-10-14,Platinum,Bills,F,450413,2013,10,October,14,Monday
175,Bengaluru,2015-05-01,Signature,Bills,F,219041,2015,5,May,1,Friday
176,Bengaluru,2014-12-31,Gold,Bills,F,866572,2014,12,December,31,Wednesday
177,Greater Mumbai,2014-03-26,Signature,Bills,F,570791,2014,3,March,26,Wednesday
178,Ahmedabad,2014-04-28,Silver,Bills,F,705464,2014,4,April,28,Monday
179,Greater Mumbai,2014-04-06,Signature,Bills,F,806821,2014,4,April,6,Sunday
180,Greater Mumbai,2014-03-27,Platinum,Bills,F,515472,2014,3,March,27,Thursday
181,Ahmedabad,2014-09-23,Silver,Bills,F,352207,2014,9,September,23,Tuesday
182,Ahmedabad,2015-03-04,Gold,Bills,F,342761,2015,3,March,4,Wednesday
183,Bengaluru,2014-02-27,Signature,Bills,F,249099,2014,2,February,27,Thursday
184,Ahmedabad,2014-08-27,Platinum,Bills,F,995634,2014,8,August,27,Wednesday
185,Bengaluru,2014-12-12,Signature,Bills,F,435097,2014,12,December,12,Friday
186,Ahmedabad,2014-06-16,Platinum,Bills,F,797815,2014,6,June,16,Monday
187,Delhi,2014-01-02,Gold,Bills,F,326922,2014,1,January,2,Thursday
188,Bengaluru,2014-12-11,Gold,Bills,F,396241,2014,12,December,11,Thursday
189,Delhi,2014-12-14,Gold,Bills,F,486949,2014,12,December,14,Sunday
190,Greater Mumbai,2014-01-17,Gold,Bills,F,333483,2014,1,January,17,Friday
191,Ahmedabad,2013-10-05,Platinum,Bills,F,612572,2013,10,October,5,Saturday
192,Bengaluru,2015-03-18,Silver,Bills,F,327244,2015,3,March,18,Wednesday
193,Ahmedabad,2014-02-04,Silver,Bills,F,955468,2014,2,February,4,Tuesday
194,Greater Mumbai,2015-02-25,Gold,Bills,F,927864,2015,2,February,25,Wednesday
195,Delhi,2014-03-28,Signature,Bills,F,555220,2014,3,March,28,Friday
196,Delhi,2014-12-28,Silver,Bills,F,952640,2014,12,December,28,Sunday
197,Ahmedabad,2014-05-31,Silver,Bills,F,695749,2014,5,May,31,Saturday
198,Greater Mumbai,2014-08-22,Platinum,Bills,F,365724,2014,8,August,22,Friday
199,Greater Mumbai,2015-03-03,Platinum,Bills,F,738108,2015,3,March,3,Tuesday
200,Ahmedabad,2015-01-17,Platinum,Bills,F,650785,2015,1,January,17,Saturday
201,Delhi,2014-10-23,Signature,Bills,F,611486,2014,10,October,23,Thursday
202,Bengaluru,2014-08-05,Platinum,Bills,F,965721,2014,8,August,5,Tuesday
203,Ahmedabad,2014-10-12,Gold,Bills,F,413052,2014,10,October,12,Sunday
204,Ahmedabad,2014-01-22,Silver,Bills,F,584822,2014,1,January,22,Wednesday
205,Ahmedabad,2015-03-25,Gold,Bills,F,980146,2015,3,March,25,Wednesday
206,Ahmedabad,2014-10-10,Signature,Bills,F,926072,2014,10,October,10,Friday
207,Delhi,2014-04-16,Silver,Bills,F,482394,2014,4,April,16,Wednesday
208,Bengaluru,2014-02-21,Signature,Bills,F,718346,2014,2,February,21,Friday
209,Bengaluru,2014-04-24,Silver,Bills,F,491598,2014,4,April,24,Thursday
210,Delhi,2014-09-07,Platinum,Bills,F,848852,2014,9,September,7,Sunday
211,Bengaluru,2014-12-28,Gold,Bills,F,396139,2014,12,December,28,Sunday
212,Ahmedabad,2014-10-13,Signature,Bills,F,856974,2014,10,October,13,Monday
213,Ahmedabad,2015-04-03,Signature,Bills,F,855990,2015,4,April,3,Friday
214,Delhi,2015-02-16,Signature,Bills,F,924776,2015,2,February,16,Monday
215,Greater Mumbai,2014-04-03,Signature,Bills,F,204850,2014,4,April,3,Thursday
216,Delhi,2013-11-03,Platinum,Bills,F,780669,2013,11,November,3,Sunday
217,Greater Mumbai,2014-04-17,Signature,Bills,F,887442,2014,4,April,17,Thursday
218,Delhi,2014-01-22,Signature,Bills,F,297820,2014,1,January,22,Wednesday
219,Delhi,2015-03-14,Signature,Bills,F,687879,2015,3,March,14,Saturday
220,Greater Mumbai,2013-10-13,Silver,Bills,F,738456,2013,10,October,13,Sunday
221,Delhi,2014-08-24,Platinum,Bills,F,378535,2014,8,August,24,Sunday
222,Greater Mumbai,2015-05-09,Silver,Bills,F,334116,2015,5,May,9,Saturday
223,Delhi,2014-06-07,Silver,Bills,F,772360,2014,6,June,7,Saturday
224,Ahmedabad,2014-11-26,Gold,Bills,F,580796,2014,11,November,26,Wednesday
225,Greater Mumbai,2014-10-21,Silver,Bills,F,855465,2014,10,October,21,Tuesday
226,Greater Mumbai,2014-06-15,Gold,Bills,F,978989,2014,6,June,15,Sunday
227,Ahmedabad,2015-04-25,Gold,Bills,F,451874,2015,4,April,25,Saturday
228,Ahmedabad,2014-09-07,Silver,Bills,F,670750,2014,9,September,7,Sunday
229,Bengaluru,2015-05-19,Signature,Bills,F,977951,2015,5,May,19,Tuesday
230,Delhi,2014-02-23,Platinum,Bills,F,403466,2014,2,February,23,Sunday
231,Delhi,2013-10-28,Signature,Bills,F,861177,2013,10,October,28,Monday
232,Ahmedabad,2014-12-17,Gold,Bills,F,528612,2014,12,December,17,Wednesday
233,Ahmedabad,2014-12-04,Signature,Bills,F,339670,2014,12,December,4,Thursday
234,Delhi,2013-11-18,Signature,Bills,F,963751,2013,11,November,18,Monday
235,Ahmedabad,2014-11-30,Gold,Bills,F,761930,2014,11,November,30,Sunday
236,Ahmedabad,2014-08-21,Signature,Bills,F,852806,2014,8,August,21,Thursday
237,Delhi,2014-05-25,Signature,Bills,F,207755,2014,5,May,25,Sunday
238,Greater Mumbai,2015-04-19,Gold,Bills,F,489540,2015,4,April,19,Sunday
239,Ahmedabad,2014-03-25,Silver,Bills,F,274395,2014,3,March,25,Tuesday
240,Bengaluru,2014-02-11,Platinum,Bills,F,566945,2014,2,February,11,Tuesday
241,Ahmedabad,2014-12-09,Gold,Bills,F,705690,2014,12,December,9,Tuesday
242,Bengaluru,2014-03-25,Gold,Bills,F,894888,2014,3,March,25,Tuesday
243,Greater Mumbai,2014-01-02,Platinum,Bills,F,811899,2014,1,January,2,Thursday
244,Greater Mumbai,2014-12-25,Silver,Bills,F,677645,2014,12,December,25,Thursday
245,Greater Mumbai,2014-10-16,Platinum,Bills,F,326162,2014,10,October,16,Thursday
246,Delhi,2015-04-19,Platinum,Bills,F,316946,2015,4,April,19,Sunday
247,Delhi,2014-01-20,Platinum,Bills,F,622373,2014,1,January,20,Monday
248,Bengaluru,2014-05-10,Signature,Bills,F,640653,2014,5,May,10,Saturday
249,Ahmedabad,2015-01-09,Signature,Bills,F,745493,2015,1,January,9,Friday
250,Delhi,2013-10-31,Gold,Bills,F,868021,2013,10,October,31,Thursday
251,Delhi,2014-11-28,Platinum,Bills,F,284923,2014,11,November,28,Friday
252,Bengaluru,2014-07-21,Platinum,Bills,F,814422,2014,7,July,21,Monday
253,Bengaluru,2015-04-22,Gold,Bills,F,599741,2015,4,April,22,Wednesday
254,Ahmedabad,2014-06-10,Platinum,Bills,F,804560,2014,6,June,10,Tuesday
255,Ahmedabad,2015-04-17,Gold,Bills,F,996291,2015,4,April,17,Friday
256,Ahmedabad,2013-11-09,Platinum,Bills,F,477553,2013,11,November,9,Saturday
257,Delhi,2015-01-02,Gold,Bills,F,216028,2015,1,January,2,Friday
258,Greater Mumbai,2015-03-10,Signature,Bills,F,275427,2015,3,March,10,Tuesday
259,Delhi,2013-12-22,Silver,Bills,F,722048,2013,12,December,22,Sunday
260,Delhi,2015-02-14,Silver,Bills,F,292365,2015,2,February,14,Saturday
261,Ahmedabad,2015-01-30,Silver,Bills,F,400393,2015,1,January,30,Friday
262,Greater Mumbai,2014-04-01,Platinum,Bills,F,219720,2014,4,April,1,Tuesday
263,Delhi,2015-02-15,Signature,Bills,F,981404,2015,2,February,15,Sunday
264,Bengaluru,2014-11-24,Signature,Bills,F,639670,2014,11,November,24,Monday
265,Bengaluru,2014-08-07,Gold,Bills,F,814333,2014,8,August,7,Thursday
266,Ahmedabad,2013-10-17,Gold,Bills,F,569582,2013,10,October,17,Thursday
267,Ahmedabad,2014-05-25,Gold,Bills,F,954111,2014,5,May,25,Sunday
268,Ahmedabad,2014-05-16,Gold,Bills,F,635267,2014,5,May,16,Friday
269,Delhi,2013-10-11,Gold,Bills,F,393651,2013,10,October,11,Friday
270,Ahmedabad,2014-06-02,Platinum,Bills,F,572306,2014,6,June,2,Monday
271,Ahmedabad,2014-08-06,Silver,Bills,F,407647,2014,8,August,6,Wednesday
272,Greater Mumbai,2015-01-26,Gold,Bills,F,734396,2015,1,January,26,Monday
273,Delhi,2015-03-02,Platinum,Bills,F,224414,2015,3,March,2,Monday
274,Ahmedabad,2014-09-10,Signature,Bills,F,203194,2014,9,September,10,Wednesday
275,Greater Mumbai,2015-01-22,Gold,Bills,F,250410,2015,1,January,22,Thursday
276,Delhi,2015-04-04,Silver,Bills,F,830697,2015,4,April,4,Saturday
277,Greater Mumbai,2014-05-16,Platinum,Bills,F,790800,2014,5,May,16,Friday
278,Greater Mumbai,2014-02-22,Silver,Bills,F,638570,2014,2,February,22,Saturday
279,Greater Mumbai,2014-08-13,Silver,Bills,F,380409,2014,8,August,13,Wednesday
280,Greater Mumbai,2014-04-01,Gold,Bills,F,601631,2014,4,April,1,Tuesday
281,Ahmedabad,2014-01-08,Gold,Bills,F,690534,2014,1,January,8,Wednesday
282,Ahmedabad,2015-03-05,Silver,Bills,F,423661,2015,3,March,5,Thursday
283,Greater Mumbai,2014-12-08,Silver,Bills,F,936294,2014,12,December,8,Monday
284,Bengaluru,2014-11-29,Platinum,Bills,F,537050,2014,11,November,29,Saturday
285,Delhi,2015-03-08,Silver,Bills,F,899343,2015,3,March,8,Sunday
286,Greater Mumbai,2013-11-25,Platinum,Bills,F,834691,2013,11,November,25,Monday
287,Ahmedabad,2015-04-13,Silver,Bills,F,240216,2015,4,April,13,Monday
288,Greater Mumbai,2014-04-15,Signature,Bills,F,424370,2014,4,April,15,Tuesday
289,Delhi,2015-02-13,Silver,Bills,F,593991,2015,2,February,13,Friday
290,Greater Mumbai,2014-10-02,Signature,Bills,F,768467,2014,10,October,2,Thursday
291,Delhi,2015-02-07,Gold,Bills,F,781959,2015,2,February,7,Saturday
292,Bengaluru,2014-12-27,Platinum,Bills,F,553907,2014,12,December,27,Saturday
293,Bengaluru,2014-08-04,Platinum,Bills,F,308622,2014,8,August,4,Monday
294,Greater Mumbai,2015-05-05,Signature,Bills,F,912334,2015,5,May,5,Tuesday
295,Delhi,2015-01-28,Silver,Bills,F,586474,2015,1,January,28,Wednesday
296,Delhi,2014-04-06,Gold,Bills,F,521237,2014,4,April,6,Sunday
297,Delhi,2013-10-30,Signature,Bills,F,446266,2013,10,October,30,Wednesday
298,Greater Mumbai,2014-09-30,Platinum,Bills,F,511168,2014,9,September,30,Tuesday
299,Bengaluru,2013-12-28,Signature,Bills,F,608438,2013,12,December,28,Saturday
300,Delhi,2014-10-18,Gold,Bills,F,973519,2014,10,October,18,Saturday
301,Delhi,2014-11-28,Platinum,Bills,F,688577,2014,11,November,28,Friday
302,Bengaluru,2014-05-12,Silver,Bills,F,686619,2014,5,May,12,Monday
303,Greater Mumbai,2014-11-06,Signature,Bills,F,255982,2014,11,November,6,Thursday
304,Greater Mumbai,2014-03-02,Signature,Bills,F,464656,2014,3,March,2,Sunday
305,Delhi,2015-04-19,Signature,Bills,F,212319,2015,4,April,19,Sunday
306,Greater Mumbai,2015-04-18,Platinum,Bills,F,307563,2015,4,April,18,Saturday
307,Delhi,2015-04-15,Silver,Bills,F,407564,2015,4,April,15,Wednesday
308,Bengaluru,2014-10-12,Signature,Bills,F,331349,2014,10,October,12,Sunday
309,Delhi,2015-04-14,Silver,Bills,F,391325,2015,4,April,14,Tuesday
310,Ahmedabad,2014-10-07,Silver,Bills,F,530244,2014,10,October,7,Tuesday
311,Greater Mumbai,2014-04-16,Signature,Bills,F,668736,2014,4,April,16,Wednesday
312,Bengaluru,2014-12-03,Gold,Bills,F,517448,2014,12,December,3,Wednesday
313,Ahmedabad,2014-08-03,Platinum,Bills,F,788531,2014,8,August,3,Sunday
314,Ahmedabad,2014-03-17,Gold,Bills,F,474729,2014,3,March,17,Monday
315,Bengaluru,2015-01-16,Platinum,Bills,F,590841,2015,1,January,16,Friday
316,Greater Mumbai,2014-01-05,Platinum,Bills,F,608427,2014,1,January,5,Sunday
317,Delhi,2015-05-02,Silver,Bills,F,719835,2015,5,May,2,Saturday
318,Delhi,2013-12-30,Signature,Bills,F,375139,2013,12,December,30,Monday
319,Bengaluru,2014-05-19,Platinum,Bills,F,229589,2014,5,May,19,Monday
